I-GROW                         | grupo                | Grupo 0+/1/2/3 (Amazon, confianza media)
I-GROW                         | proteccion_lateral   | Sí (H-GUARD + SPS+)
I-BOOST 2                      | arnes                | Cinturón del vehículo (3 puntos)
SAFETY FIX 3 PRO               | proteccion_lateral   | Sí (H-GUARD + SPS)
Tanza                          | grupo                | Grupo 2/3 (Amazon + fabricante, confianza alta)
Tanza                          | arnes                | Arnés de 3 puntos (confirmado por fabricante)
Tanza                          | proteccion_lateral   | Sí (G-CELL)
Emerald 360 S                  | grupo                | Grupo 0+/1/2/3 (Amazon, confianza media)
Emerald 360 S                  | proteccion_lateral   | Sí (G-CELL)
RevolveFix Plus 360            | grupo                | Sin especificar (decisión manual, ver contradicción ISOFIX de Marvel no aplica aquí)
Marvel RoadSafe                | grupo                | Sin especificar (contradicción ISOFIX en Amazon ya detectada y descartada como evidencia de grupo)
Marvel RoadSafe                | isofix               | No (confirmado por fabricante, resuelto manualmente)
Solution X i-Fix               | funda_lavable        | Sí (confirmado por fabricante)
Solution S2 i-Fix              | isofix               | Sí (opcional, también cinturón)
Solution S2 i-Fix              | proteccion_lateral   | Sí (Sistema L.S.P., confirmado en Amazon)
Solution S2 i-Fix              | funda_lavable        | Sí (lavable a máquina 30°C, confirmado en Amazon)
Pearl 360                      | grupo                | Sin especificar (etapa infantil, sin nomenclatura de grupo)
Pearl 360                      | tipo_instalacion     | ISOFIX (vía base)
Pearl 360                      | giro_360             | Sí (FlexiSpin, con la base)
Pearl 360                      | proteccion_lateral   | Sí (G-CELL)
Pearl 360                      | travel_system        | Compatible con cochecitos Maxi-Cosi (ver widget de compatibilidad)
Cloud G i-Size Comfort         | grupo                | Sin especificar (etapa infantil, sin nomenclatura de grupo)
Cloud G i-Size Comfort         | isofix               | Sí — requiere Base G vendida por separado (229€ extra)
Cloud G i-Size Comfort         | tipo_instalacion     | ISOFIX (vía base)
Cloud G i-Size Comfort         | giro_360             | No — 180° (confirmado, no 360° completo)
Cloud G i-Size Comfort         | proteccion_lateral   | Sí (Linear Side-impact Protection Plus)
Cloud G i-Size Comfort         | travel_system        | Compatible (adaptador para cochecitos Cybex/gb, confirmado en ficha)
Pallas G i-Size (G2)           | isofix               | Sí (obligatorio salvo modo elevador 100-150cm)
Pallas G i-Size (G2)           | tipo_instalacion     | ISOFIX o cinturón (según etapa)
Pallas G i-Size (G2)           | proteccion_lateral   | Sin especificar explícito (tiene Impact Shield, tecnología distinta a protección lateral tradicional)
DUALFIX2 R                     | altura               | Sin especificar (0-18kg, sin cm explícito)
DUALFIX2 R                     | orientacion          | A contramarcha (con reclinado en todas las posiciones)
DUALFIX2 R                     | arnes                | Sin especificar con certeza (tabla dice "3 puntos", posible error de ficha para un arnés de bebé — Revisar)
DUALFIX2 R                     | funda_lavable        | Sí (extracción rápida, lavable)
BABY-SAFE CORE                 | travel_system        | Compatible con numerosos cochecitos (confirmado por fabricante)
Unico EVO I'Size Classic       | isofix               | Sí (40-105cm) / cinturón (100-150cm)
Kory i-Size Essential          | isofix               | No de serie — ISOFIX solo con "Base Full 360 i-Size" vendida por separado (219€)
Kory i-Size Essential          | tipo_instalacion     | Cinturón (ISOFIX opcional vía base)
Quasar Fix i-Size              | peso_recomendado     | 23-36 kg (máx. de la ficha: 22 kg)
Rodia Plus i-Size              | orientacion          | Ambas (contramarcha hasta 18kg/105cm)
Rodia Plus i-Size              | proteccion_lateral   | Sí (mencionada en título)
SlimFit R129                   | tipo_instalacion     | Cinturón (integrated belt lock-off)
SlimFit R129                   | proteccion_lateral   | Sí (Safety Surround + TrueShield)
Junior Maxi i-Size             | arnes                | Cinturón del vehículo (guías de cinturón)
Junior Maxi i-Size             | proteccion_lateral   | Sí (protección mejorada contra impactos laterales)
Bastiaan i-Size                | proteccion_lateral   | Sí (SideProtect)
HUGO i-Size                    | arnes                | Cinturón del vehículo (3 puntos)
HUGO i-Size                    | proteccion_lateral   | Sí (protección lateral mencionada en fabricante)
LEVI ONE i-Size                | tipo_instalacion     | Cinturón (5 puntos hasta 18kg, luego cinturón 3 puntos)
LEVI ONE i-Size                | arnes                | Arnés de 5 puntos (76-105cm) / cinturón de 3 puntos (100-150cm)
LEVI ONE i-Size                | proteccion_lateral   | Sí (mencionada por fabricante)
i-MOOVE 2                      | orientacion          | Ambas (RWF 40-105cm + FWF 76-150cm, confirmado por fabricante)
i-MOOVE 2                      | proteccion_lateral   | Sí (SPS)
i-FLIT                         | proteccion_lateral   | Sí (SPS)
Alzador Coche Grupo 2/3        | isofix               | Sí — como refuerzo de estabilidad junto al cinturón (confirmado por fabricante)
Alzador Coche Grupo 2/3        | normativa            | R129 / i-Size (ECE R129)
Alzador Coche Grupo 2/3        | arnes                | Cinturón del vehículo (3 puntos)
Alzador Coche Grupo 2/3        | funda_lavable        | Sí (fundas extraíbles lavables a mano)
Belem                          | proteccion_lateral   | Sí (SPS)
Bogota                         | proteccion_lateral   | Sí (SPS)
Onboard                        | funda_lavable        | Sí (transpirable y lavable, confirmado en Amazon)
