B0FKBWNF2G | Kinderkraft | grupo_edad='3,5-12 años' | isofix='Sí'
B0F9YPF1V1 | Kinderkraft | grupo_edad='15 meses - 12 años' | isofix='N/A'
B0BYP63YCW | Kinderkraft | grupo_edad='15 meses - 12 años' | isofix='No'
B0C58QGJNG | Cybex | grupo_edad='3-12 años' | isofix='Sí'
B0BZ89X9YC | Kinderkraft | grupo_edad='0-12 años' | isofix='Sí'
B0CZ47FKZL | Maxi-Cosi | grupo_edad='Grupo 2/3' | isofix='Sí'
B0BYP9MTBX | Kinderkraft | grupo_edad='15 meses - 12 años' | isofix='No'
B0FGDM2ZTS | Kinderkraft | grupo_edad='N/A' | isofix='Sí'
B0F3P61P8C | Bébé Confort | grupo_edad='0-4 años' | isofix='Sí'
B0CWS19269 | Maxi-Cosi | grupo_edad='Grupo 0+' | isofix='Sí'
B0F9YR27XX | Kinderkraft | grupo_edad='0-12 años' | isofix='Sí'
B0DSL7WGB2 | Kinderkraft | grupo_edad='3,5-12 años' | isofix='N/A'
B0GGZYY3BZ | Bébé Confort | grupo_edad='3,5-12 años' | isofix='Sí'
B0DP7TG8KY | Kinderkraft | grupo_edad='N/A' | isofix='Sí'
B0F1R26D8L | Kinderkraft | grupo_edad='6-12 años' | isofix='N/A'
