'detalle:Marca' -> None | text='Marca: Kinderkraft'
'detalle:Tipo de instalación' -> None | text='Tipo de instalación: Cinturón de seguridad'
'detalle:Material' -> None | text='Material: Poliéster'
'detalle:Color' -> None | text='Color: Pink'
'detalle:Orientación' -> None | text='Orientación: Orientación hacia adelante'
'detalle:Dimensiones del producto' -> None | text='Dimensiones del producto: 51f. x 44an. x 80al. centímetros'
'detalle:Peso del producto' -> None | text='Peso del producto: 5,98 Kilogramos'
'detalle:Recomendación de peso máximo' -> None | text='Recomendación de peso máximo: 36 Kilogramos'
'detalle:Fabricante' -> None | text='Fabricante: 4Kraft'
'detalle:Número de unidades' -> None | text='Número de unidades: 1.0 Conteo'
'detalle:Dimensiones del producto' -> None | text='Dimensiones del producto: : \u200e 59,79 x 45,59 x 31,19 cm; 5,98 kg'
'detalle:Fabricante' -> None | text='Fabricante: : \u200e 4Kraft'
'detalle:ASIN' -> None | text='ASIN: : \u200e B0F9YPF1V1'
'detalle:Número de modelo del producto' -> None | text='Número de modelo del producto: : \u200e KCICOM00PNK0000'
'detalle:País/Región de origen' -> None | text='País/Región de origen: : \u200e China'
'detalle:Opiniones de los clientes' -> None | text='Opiniones de los clientes: 4,5 \n4,5 de 5 estrellas\n   (377)'
'bullet' -> None | text='SILLA DE COCHE 76–150 CM (aprox. 15 meses – 12 años) – conforme a la normativa i'
'bullet' -> None | text='PROTECCIÓN PREMIUM – H-GUARD con reposacabezas de 3 capas que protege la cabeza,'
'bullet' -> None | text='SISTEMA EASY GROW – ajuste simultáneo del reposacabezas y del arnés, garantizand'
'bullet' -> None | text='COMODIDAD DURANTE TODA LA VIDA ÚTIL – reclinado en 5 posiciones, carcasa ventila'
'titulo' -> 'Arnés de 5 puntos' | text='Kinderkraft I-COMFY, Silla de coche, Para niños, Ajustable (76-150 cm), Respaldo'
