I-GROW                       | 0-12 años
I-BOOST 2                    | 6-12 años
SAFETY FIX 3 PRO             | Sin especificar
Tanza                        | 3,5-12 años
Emerald 360 S                | 0-12 años
RevolveFix Plus 360          | 0-12 años
Marvel RoadSafe              | 3,5-12 años
Solution X i-Fix             | 3-12 años
Solution S2 i-Fix            | 3-12 años aprox.
Pearl 360                    | 3 meses - 4 años
Cloud G i-Size Comfort       | 0-24 meses aprox.
Pallas G i-Size (G2)         | 15 meses - 12 años
DUALFIX2 R                   | 0-4 años
BABY-SAFE CORE               | 0-15 meses aprox.
Unico EVO I'Size Classic     | 0-12 años
Kory i-Size Essential        | Recién nacido - 15 meses aprox.
Quasar Fix i-Size            | 7-12 años aprox.
Rodia Plus i-Size            | 0-12 años
SlimFit R129                 | 0-12 años aprox.
Junior Maxi i-Size           | 3,5-12 años
Bastiaan i-Size              | 0-12 años aprox.
HUGO i-Size                  | 4-12 años aprox.
LEVI ONE i-Size              | Sin especificar (por altura: 76-150cm)
i-MOOVE 2                    | 0-12 años aprox.
i-PASS                       | 15 meses - 12 años
i-FLIT                       | 15 meses - 12 años
Alzador Coche Grupo 2/3      | 6-12 años
Belem                        | 4-12 años aprox.
Bogota                       | 4-12 años aprox.
Onboard                      | 0-12 años
